pop1 pop2 pop3 est se z p
YRI FIN CDX 0.00775352271584416 0.000335921822295159 23.0813308372431 7.13092227115844e-118
YRI FIN CHB 0.00969293875911575 0.00041194380363265 23.5297598207337 2.02329480487431e-122
YRI FIN CHS -0.00269112727421 0.000135420558651539 -19.8723687230884 7.05919381776951e-88
YRI FIN DA234 -0.00290680817085729 0.000577495197282528 -5.03347592245896 4.81665337900489e-07
YRI FIN DA236 -0.00024340827747189 0.000537034032149284 -0.453245535478891 0.650371946677508
YRI FIN DA237_E1_L1 0.0102276246092755 0.000550267255035366 18.5866495156397 4.1213185037397e-77
YRI FIN DA238 0.0103581211755452 0.000541438242700585 19.1307527962579 1.40037329471569e-81
YRI FIN FIN 0.0109775206373334 0.000442855572342615 24.7880377326282 1.20660036093003e-135
YRI FIN GBR 0.0111433043484149 0.000460980713606301 24.1730380892502 4.27531782114001e-129
YRI FIN IBS 0.00701289835665582 0.000309221149088122 22.6792325729871 7.18309039579638e-114
YRI FIN IK002.maf001_Jomon 0.0108677009438454 0.000539022588090571 20.1618655395185 2.11746147460765e-90
YRI FIN Jomon 0.0116423274525434 0.000603416412173797 19.2940185544542 6.02990799604905e-83
YRI FIN JpFu1 0.0110556377948965 0.000529818055534683 20.8668573662318 1.07150447379989e-96
YRI FIN JpHi01 0.0115585119446026 0.000582569378341676 19.840575859831 1.32927407285965e-87
YRI FIN JpIw31 0.0111433336795906 0.000541538537556994 20.5771757811748 4.39556201331089e-94
YRI FIN JpIw32 0.00379099297585958 0.00060828025186707 6.23231308960536 4.59597750471412e-10
YRI FIN JpIw33 0.0102636283322198 0.000540921174846408 18.9743511799739 2.77921373378202e-80
YRI FIN JpKa6904 0.00168540354007946 0.00062408508133226 2.70059898961461 0.0069214736329931
YRI FIN JpKo13 0.0115228011397087 0.000571566349575867 20.1600411715266 2.19699166996648e-90
YRI FIN JpKo2 0.011341330533361 0.000529304044926238 21.4268729704144 7.5054784891067e-102
YRI FIN JpOd181 -0.00265361043804551 0.00062930810628381 -4.21671103796136 2.47891294673239e-05
YRI FIN JpOd274 0.00555984634065521 0.000656039029401219 8.47487129802292 2.35339568372628e-17
YRI FIN JpOd282 0.0107076574503654 0.000527952147657299 20.2814923622886 1.87359799017493e-91
YRI FIN JpOd6 0.00241929239218036 0.000510929001828322 4.73508527314577 2.18963017055164e-06
YRI FIN JPT 0.00176162858363185 0.000175355733014253 10.0460278848634 9.56452634906407e-24
YRI FIN Kolyma_River 0.00131244956951165 0.000646980165787849 2.02857775077763 0.0425013166428827
YRI FIN M0831 0.00128324595485504 0.000659765746137069 1.94500239269536 0.0517746903358238
YRI FIN M9984 0.00250517092509963 0.000619846556459384 4.04159851981654 5.3088068280692e-05
YRI FIN NEO229 -0.00323145901002153 0.000565252337830252 -5.71684324637318 1.08521138347383e-08
YRI FIN NEO230 -0.00365520119093637 0.000623840114992772 -5.85919549431143 4.65114899057732e-09
YRI FIN NEO231 -0.00322933929122688 0.000511900475891521 -6.30852957423548 2.81698909091916e-10
YRI FIN NEO232 -0.00323820242449303 0.000647923228086581 -4.99781808109574 5.79826460093777e-07
YRI FIN NEO233 -0.0047746426394276 0.000606021028139445 -7.87867486065015 3.30871222667188e-15
YRI FIN NEO234 -0.00500114073446498 0.000580472826955769 -8.61563281212139 6.9556340260922e-18
YRI FIN NEO235 -0.00374911449747394 0.000688071852361603 -5.44872528153304 5.07321029283125e-08
YRI FIN NEO236 -0.00411038009293489 0.000612952555955855 -6.70586989644745 2.0021004668752e-11
YRI FIN NEO237 -0.00279259847811963 0.000604730807749904 -4.61791997750271 3.87605659029783e-06
YRI FIN NEO238 -0.00261664606988222 0.000552323127638282 -4.73752761552992 2.16341383430795e-06
YRI FIN NEO239 -0.0037277283301402 0.000460554895698255 -8.09399349558218 5.7739774090675e-16
YRI FIN NEO240 -0.00366063119866589 0.000586974205260751 -6.23644304273938 4.47632190520733e-10
YRI FIN NEO241 -0.00237834936176204 0.000566880447346069 -4.19550431294044 2.72265105391759e-05
YRI FIN NEO242 -0.00254952689081271 0.000468093845833703 -5.44661484765272 5.13374601886532e-08
YRI FIN NEO243 -0.00463649870728359 0.00064341852802618 -7.20603853530146 5.76031077845575e-13
YRI FIN NEO246 -0.00396331318405208 0.000607560873019738 -6.523318666578 6.8768539942734e-11
YRI FIN NEO247 -0.00341587139549875 0.000507134048684035 -6.73563805144343 1.63212115408714e-11
YRI FIN NEO248 -0.00360908707076947 0.000557001985086041 -6.47948690921088 9.203505137698e-11
YRI FIN NEO249 -0.00426834481315418 0.000576335201871998 -7.4060109451759 1.30155096306377e-13
YRI FIN NEO250 -0.00414143570558742 0.000592380905958485 -6.99117014733365 2.7260290862028e-12
YRI FIN NEO251 0.0113432549734554 0.000501429302053642 22.6218430534438 2.64209459516688e-113
YRI FIN NEO253 0.0117622726696868 0.000558898628089561 21.0454491718701 2.51721418161605e-98
YRI FIN NEO298 0.0109041991628532 0.000511590674418199 21.3143040092627 8.36417526353439e-101
YRI FIN NEO299 0.0106273790066242 0.000552964361272705 19.2189221420422 2.57054399918214e-82
YRI FIN Yana_old 0.0108041944207305 0.000531661724069025 20.3215577341953 8.2903611216605e-92
YRI FIN Yana_old2 0.0107222718563195 0.000545310332601449 19.6626970282554 4.50147963733163e-86
YRI FIN Yana_Young 0.0111799610345132 0.000533606611414109 20.9516913684506 1.81084299400432e-97
