pop1 pop2 pop3 est se z p
YRI FIN CDX 0.00782870440809924 0.000334572992882229 23.3990924989423 4.36546456398398e-121
YRI FIN CHB 0.0097882654239781 0.00041463710558756 23.6068245993268 3.27975577958945e-123
YRI FIN CHS -0.00248443507419213 0.000130917884137271 -18.9770487856888 2.64015524198156e-80
YRI FIN DA234 -0.00316941258881384 0.000597940888499046 -5.30054500331917 1.15457500416329e-07
YRI FIN DA236 -0.000588491552818133 0.000564351868174641 -1.04277417335672 0.29705289547916
YRI FIN DA237_E1_L1 0.010249675867017 0.000546436988996152 18.7572877997268 1.68795615965146e-78
YRI FIN DA238 0.0103726971679928 0.000543168812462002 19.0966361286041 2.69287580481859e-81
YRI FIN FIN 0.0110820719681291 0.000446911382910188 24.7970232844934 9.65287743191293e-136
YRI FIN GBR 0.0112480243314712 0.000462495440278488 24.320292378879 1.19597931898157e-130
YRI FIN IBS 0.00705749196089684 0.000307346538827096 22.9626531270852 1.10142345567526e-116
YRI FIN IK002.maf001_Jomon 0.010933295879472 0.000538041640438378 20.3205385192192 8.46428004777398e-92
YRI FIN Jomon 0.0117875324989298 0.000604615439044546 19.4959171362829 1.18903854396447e-84
YRI FIN JpFu1 0.0109629109723538 0.000539058332146925 20.3371515076884 6.03344880862211e-92
YRI FIN JpHi01 0.0116994029272046 0.0005897447775773 19.8380780500785 1.39698049465218e-87
YRI FIN JpIw31 0.0112090996513789 0.000542019098888893 20.6802669395911 5.21514795114646e-95
YRI FIN JpIw32 0.00406968455125303 0.000623134917932255 6.53098459761723 6.53387188166436e-11
YRI FIN JpIw33 0.0103217507548654 0.000542176992392295 19.0376037709049 8.32502442043707e-81
YRI FIN JpKa6904 0.00215848392279083 0.000616164563242819 3.50309649654456 0.000459882829599352
YRI FIN JpKo13 0.0117369916000027 0.000577638627237934 20.3189174798175 8.7484228290527e-92
YRI FIN JpKo2 0.0113924042724676 0.000536982328911859 21.215603678343 6.8541326882699e-100
YRI FIN JpOd181 -0.00237331658992656 0.000623789938506388 -3.80467276469585 0.000141991779744529
YRI FIN JpOd274 0.00558580947733396 0.000654507926750842 8.53436490076363 1.40927401736364e-17
YRI FIN JpOd282 0.0107680809409091 0.000531885434552503 20.2451134048609 3.92279789022182e-91
YRI FIN JpOd6 0.00252581435420017 0.000492859173213098 5.12481960665076 2.97822751948303e-07
YRI FIN JPT 0.00188501615486306 0.000175228733140433 10.7574603838079 5.4655652750391e-27
YRI FIN Kolyma_River 0.00143607584926646 0.000678579960140286 2.11629569633853 0.0343196665497195
YRI FIN M0831 0.00127613011942465 0.000671743177014128 1.89972918682553 0.0574686680305998
YRI FIN M9984 0.0027540631415967 0.000598616915198047 4.60071052400105 4.21052229295083e-06
YRI FIN NEO229 -0.00338574619119355 0.000567090263090874 -5.97038322037104 2.36696954389158e-09
YRI FIN NEO230 -0.0033775588011299 0.000608151082778794 -5.55381532118136 2.79500775843381e-08
YRI FIN NEO231 -0.0031401577368504 0.000506427028610694 -6.20061244650576 5.6243858045409e-10
YRI FIN NEO232 -0.00342213529887147 0.000671665006091054 -5.09500311589487 3.48735519920551e-07
YRI FIN NEO233 -0.00429639473462029 0.000593581622436295 -7.23808583727066 4.55061415990681e-13
YRI FIN NEO234 -0.00486245152929306 0.000569509454402963 -8.53796454422437 1.36606821738348e-17
YRI FIN NEO235 -0.00335725161203734 0.000648826892400723 -5.17434103203581 2.28716741913738e-07
YRI FIN NEO236 -0.00395173030102712 0.000581774721306537 -6.792543842662 1.10173317665114e-11
YRI FIN NEO237 -0.00263615770162778 0.000598448900123059 -4.40498378572624 1.05791790526702e-05
YRI FIN NEO238 -0.00253287661262891 0.000587021494936491 -4.31479363954626 1.59752061300707e-05
YRI FIN NEO239 -0.00334996402845037 0.000477559571878986 -7.0147563271944 2.30350056436814e-12
YRI FIN NEO240 -0.00349221462534357 0.000587246224661623 -5.94676385932633 2.73495515168131e-09
YRI FIN NEO241 -0.00258882943722408 0.000559589743740032 -4.6262989380784 3.7225789753702e-06
YRI FIN NEO242 -0.00272061801533844 0.000500650069773767 -5.43417085024642 5.50518147024515e-08
YRI FIN NEO243 -0.00463495364171963 0.000637935767820457 -7.26554909682399 3.71525954570159e-13
YRI FIN NEO246 -0.00369235065005071 0.000575699340390811 -6.41367879203088 1.42049342409865e-10
YRI FIN NEO247 -0.00355874176767841 0.000517290418386462 -6.87958183872586 6.00285046151549e-12
YRI FIN NEO248 -0.00319175866722822 0.000546799011685056 -5.83716978088944 5.30949851572651e-09
YRI FIN NEO249 -0.00410475629269694 0.00057560646087241 -7.1311852310963 9.95082969780733e-13
YRI FIN NEO250 -0.00370681192662502 0.000585499105038234 -6.33102919326061 2.43531257869501e-10
YRI FIN NEO251 0.0114389291129674 0.000502629663259606 22.7581656020552 1.19126163046012e-114
YRI FIN NEO253 0.0119278469556291 0.000562839922071301 21.1922546498365 1.12575526442081e-99
YRI FIN NEO298 0.0109048856571729 0.000516935207438224 21.0952659061747 8.79099343466662e-99
YRI FIN NEO299 0.0107446062137263 0.000561804698573549 19.1251626072323 1.55886565966249e-81
YRI FIN Yana_old 0.0108443931249803 0.000523836037428886 20.7018844640914 3.33088379196076e-95
YRI FIN Yana_old2 0.0106378965578714 0.000549147674698576 19.3716500096454 1.33897094979197e-83
YRI FIN Yana_Young 0.0112714259283351 0.000528280015402446 21.3360823800016 5.25149587319444e-101
