pop1 pop2 pop3 est se z p
YRI GBR ASW 0.00203877387223786 0.000135857970926181 15.0066562774268 6.64122189419647e-51
YRI GBR BEB 0.00659479947115288 0.000433390264797284 15.2167688266776 2.73720036247035e-52
YRI GBR CEU 0.00829103479905874 0.000578429648146827 14.3336961126069 1.34753670796192e-46
YRI GBR CHB 0.0085150581656498 0.000481274225475668 17.6927367286996 4.77013710679537e-70
YRI GBR ESN 4.41587344629616e-05 6.35361323134863e-06 6.95017667192632 3.64829033266055e-12
YRI GBR FIN 0.0085880316728193 0.000593730633301697 14.4645251417496 2.03001123618316e-47
YRI GBR GBR 0.00824119882549552 0.000595327456031054 13.8431358103961 1.39964925948586e-43
YRI GBR GIH 0.00647008926267922 0.00043634071571791 14.8280667597889 9.6471455395543e-50
YRI GBR ITU 0.00632884287920737 0.000412768773620736 15.3326590664596 4.62652964272515e-53
YRI GBR JPT 0.00863070009029526 0.000489256805673341 17.6404293005536 1.20541705954795e-69
YRI GBR LWK 0.000297568835631704 3.03370770057894e-05 9.80875104002004 1.03238397951294e-22
YRI GBR MSL 9.42848562632733e-05 1.24437497385951e-05 7.5768846403944 3.53951236523958e-14
YRI GBR MXL 0.00783717331330193 0.000480836581718155 16.2990371599799 1.00259083039776e-59
YRI GBR STU 0.00611107447201531 0.000400141287952444 15.2722917029787 1.16988330029256e-52
YRI GBR TSI 0.00771621988897538 0.000550153085226548 14.0255868706033 1.08709120370343e-44
