pop1 pop2 pop3 est se z p
YRI FIN CHB 0.010481055973009 0.000500496216719491 20.9413290707915 2.25091978561986e-97
YRI FIN DA234 0.00502710589607373 0.000461446397749471 10.8942358648621 1.22792972044134e-27
YRI FIN DA236 0.00638537644218654 0.000644272726696952 9.9109836216768 3.72956099967144e-23
YRI FIN DA237_E1_L1 0.000845450934371795 0.000127678226210432 6.62173151574311 3.55015443432342e-11
YRI FIN DA238 0.00359931633876442 0.000309217474138526 11.6400806545363 2.57771736870603e-31
YRI FIN FIN 0.00974390744249761 0.000616472597021886 15.8059052252596 2.83291651643276e-56
YRI FIN GBR 0.0085878525390395 0.000593725907832862 14.4643385537709 2.03552342376812e-47
YRI FIN IK002.maf001_Jomon 0.00812315333927049 0.00059905018694451 13.5600547605253 6.90844955405638e-42
YRI FIN Jomon 0.0110924908358469 0.000654240919598876 16.9547493951431 1.77516632471494e-64
YRI FIN JpFu1 0.00712285043703173 0.000437931111564681 16.2647737256724 1.75514290462221e-59
YRI FIN JpHi01 0.00595777642549961 0.000427315560380939 13.9423343727255 3.50292809328636e-44
YRI FIN JpIw31 0.0110685148539993 0.000602525864852077 18.3701903929331 2.27611986671939e-75
YRI FIN JpIw32 0.0111976904157741 0.000615757913595706 18.1852155993992 6.75891282319749e-74
YRI FIN JpIw33 0.0100836291315775 0.000567338017452013 17.7735826286847 1.13223245496806e-70
YRI FIN JpKa6904 0.0123616591515473 0.00078765910417539 15.694174149728 1.65786147661711e-55
YRI FIN JpKo13 0.0103541099480714 0.00064663918586198 16.0121906844683 1.05045179732094e-57
YRI FIN JpKo2 0.0104978524775408 0.000703214351192766 14.9283820214061 2.15430085237525e-50
YRI FIN JpOd181 0.00772604759736859 0.000633011991852913 12.2052152199414 2.91536609099237e-34
YRI FIN JpOd274 0.00891345384731182 0.000506689699999247 17.5915433988989 2.85981368117767e-69
YRI FIN JpOd282 0.00670154199004966 0.000466181205035591 14.3754014912249 7.38406002065272e-47
YRI FIN JpOd6 0.00725009885132946 0.000446081194108689 16.2528681932351 2.13154488232595e-59
YRI FIN JPT 0.0106206307381034 0.000504474120222055 21.0528752861069 2.15219467274324e-98
YRI FIN Kolyma_River 0.00575281862322776 0.000551910020909669 10.4234719524495 1.93748511490601e-25
YRI FIN M0831 0.0063240761481718 0.000464181919102649 13.6241328839293 2.87808373387376e-42
YRI FIN M9984 0.00512108267598716 0.000370531368483427 13.8209153436795 1.90630310819764e-43
YRI FIN NEO229 0.00335621235260721 0.000277185225864836 12.1081935089997 9.5575946912649e-34
YRI FIN NEO230 0.00401651542715565 0.000298666442124557 13.4481644425274 3.15609807588681e-41
YRI FIN NEO231 0.00344704334766827 0.000249824665307533 13.79785035807 2.6256597650823e-43
YRI FIN NEO232 0.00607779803675817 0.000446160306293847 13.6224535240373 2.94504792984344e-42
YRI FIN NEO233 2.44294283128341e-05 7.1552338843506e-06 3.41420402291312 0.000639686542398703
YRI FIN NEO234 0.000340878380216679 8.12099127144764e-05 4.1974971875067 2.69881008008962e-05
YRI FIN NEO235 0.00659469866668603 0.000457648538382441 14.4099633530897 4.47948022039014e-47
YRI FIN NEO236 0.00768946013570743 0.000465671211913637 16.5126379707009 2.97585822857702e-61
YRI FIN NEO237 0.00141877730881337 0.000107359420160419 13.2152102413873 7.16857423804079e-40
YRI FIN NEO238 0.00369842273181543 0.000231826356601254 15.9534178340938 2.69722734100092e-57
YRI FIN NEO239 0.000868179938440118 7.56078289395701e-05 11.482672503849 1.61218883852068e-30
YRI FIN NEO240 0.010653526317126 0.000598470348837438 17.8012600587834 6.90965674953127e-71
YRI FIN NEO241 0.00280334774990796 0.000247696493553062 11.3176723242851 1.07282706469271e-29
YRI FIN NEO242 0.00189911881748417 0.00014976718822862 12.6804732060881 7.58724225023737e-37
YRI FIN NEO243 0.000539941378440984 4.60746931756534e-05 11.71882743489 1.02075027574043e-31
YRI FIN NEO246 0.00305960168355607 0.000233064672898639 13.127693895019 2.28509818188734e-39
YRI FIN NEO247 0.00585070637890351 0.000476484088252951 12.2789123984294 1.17568106254434e-34
YRI FIN NEO248 0.00503855541932013 0.000344111673685703 14.6422100864911 1.51076390210735e-48
YRI FIN NEO249 0.00719656382803128 0.00045255263530065 15.902158703043 6.12183726942641e-57
YRI FIN NEO250 0.00219068489460999 0.000214819479521455 10.197794443456 2.02826084900602e-24
YRI FIN NEO251 0.00552411156234072 0.000383292828577068 14.4122486790279 4.33367474869872e-47
YRI FIN NEO253 0.000772276011049578 9.77174334907614e-05 7.9031548768889 2.71931361242299e-15
YRI FIN NEO298 0.0068232073447445 0.000425317859132399 16.0426071895102 6.43933131133093e-58
YRI FIN NEO299 0.000626436291678531 9.60623374853222e-05 6.52114354154922 6.9773371108391e-11
YRI FIN Yana_old 0.00982556141206847 0.000803148317264169 12.233806883314 2.05096365066411e-34
YRI FIN Yana_old2 0.00757819570930812 0.000635388128216372 11.9268764598754 8.57302717111253e-33
YRI FIN Yana_Young 0.00728016802005327 0.000454658093878899 16.012401666366 1.04689535010026e-57
