pop1 pop2 pop3 est se z p
YRI GBR CHB 0.00859787469487614 0.000502035953545912 17.1260138524916 9.49409542719526e-66
YRI GBR DA234 0.0047751719900401 0.00051015885304367 9.36016686087253 7.96108656011177e-21
YRI GBR DA236 0.00666855493485308 0.000675617289680709 9.87031420999392 5.598894955255e-23
YRI GBR DA237_E1_L1 0.000676657382960917 0.000138126714365636 4.89881617809088 9.64157923002292e-07
YRI GBR DA238 0.00321697341801359 0.000310726310462957 10.3530769995645 4.0524805144625e-25
YRI GBR FIN 0.00868581418515873 0.000614233666299458 14.1408956586306 2.12561670122229e-45
YRI GBR GBR 0.00844563045987459 0.000627643883457183 13.4560866161149 2.83540227985152e-41
YRI GBR IK002.maf001_Jomon 0.00717256825938569 0.000675132651232443 10.6239392307457 2.30619060116922e-26
YRI GBR Jomon 0.00935493505430698 0.000722219525661807 12.9530353610068 2.25844303791067e-38
YRI GBR JpFu1 0.00699241976034086 0.000571237520862472 12.2408271602739 1.8810575427824e-34
YRI GBR JpHi01 0.00557340969583789 0.000452200102526227 12.3250960464226 6.63643655503056e-35
YRI GBR JpIw31 0.00919029852748627 0.000570545265521815 16.1079218124453 2.24440995298557e-58
YRI GBR JpIw32 0.00969800118595313 0.000621254018367485 15.6103637147286 6.18832011248158e-55
YRI GBR JpIw33 0.00908154702492119 0.000650307779207878 13.9649982904759 2.54911570018795e-44
YRI GBR JpKa6904 0.0105040368021123 0.00078754854061782 13.3376373142308 1.39821079322264e-40
YRI GBR JpKo13 0.00931208847156928 0.000695662716886815 13.3859243071731 7.30825014785996e-41
YRI GBR JpKo2 0.00992124781323125 0.000797898152345644 12.43422833361 1.70378162138719e-35
YRI GBR JpOd181 0.00740235506954727 0.000716019219522028 10.3382072264605 4.7330893708078e-25
YRI GBR JpOd274 0.00741883129950419 0.000534359019552705 13.8836082634373 7.9632111694869e-44
YRI GBR JpOd282 0.00623254274261063 0.000547144010785533 11.391046268902 4.63391744192397e-30
YRI GBR JpOd6 0.00627639550733038 0.000468030604900884 13.4102245485838 5.26790831183316e-41
YRI GBR JPT 0.00870306502928553 0.000513142706031303 16.9603210315429 1.6145989288527e-64
YRI GBR Kolyma_River 0.00493754460740127 0.000506177013774647 9.75458085419796 1.76327546818256e-22
YRI GBR M0831 0.00533762771803296 0.000446235481129934 11.9614596860772 5.65588650172733e-33
YRI GBR M9984 0.00440426815688924 0.000343588380908396 12.8184432350274 1.29269935965689e-37
YRI GBR NEO229 0.00288656840964219 0.000261418909816552 11.0419265831527 2.39834832573085e-28
YRI GBR NEO230 0.00365105709479036 0.000347853878496584 10.4959505139633 9.01656083276294e-26
YRI GBR NEO231 0.0028456503423702 0.000251720881423446 11.3047845942635 1.2425870816556e-29
YRI GBR NEO232 0.00509962375501749 0.000427908739181816 11.9175499074131 9.58870353492794e-33
YRI GBR NEO233 2.34775795822867e-05 8.6736893803013e-06 2.70675816862964 0.0067943730884879
YRI GBR NEO234 0.000224881672998908 6.2643890167496e-05 3.58984208033096 0.000330878355130141
YRI GBR NEO235 0.00531549171442681 0.000426063715769728 12.4758141040568 1.01166901125174e-35
YRI GBR NEO236 0.00613527848434107 0.00044766038828426 13.7052074405235 9.44968555226959e-43
YRI GBR NEO237 0.0012194925623028 0.00010770070181047 11.3229769333244 1.00983387385574e-29
YRI GBR NEO238 0.00306705230268101 0.000228978317175578 13.3945097532062 6.51045059032567e-41
YRI GBR NEO239 0.00081584589048446 7.48866727023215e-05 10.894406989178 1.22562370381656e-27
YRI GBR NEO240 0.00834372216229855 0.000532600542165089 15.6660038842248 2.58318468862299e-55
YRI GBR NEO241 0.00224994868471893 0.000209964977535009 10.7158284735548 8.57857312263268e-27
YRI GBR NEO242 0.00163865120634511 0.000141562704795264 11.5754443143413 5.48861635014992e-31
YRI GBR NEO243 0.000474247107562203 4.72386644095967e-05 10.0393843367396 1.02310713615761e-23
YRI GBR NEO246 0.0024318580022324 0.000214419069974973 11.3416124905133 8.16263884722792e-30
YRI GBR NEO247 0.00489645884313225 0.000446437521601974 10.967847920941 5.45554350812724e-28
YRI GBR NEO248 0.00458563245916244 0.000347424295961094 13.1989400639844 8.89782114592762e-40
YRI GBR NEO249 0.00598183573207123 0.000401273344731828 14.9071345271361 2.96193571053867e-50
YRI GBR NEO250 0.00193077937514757 0.000204378137579798 9.44709350036871 3.48369553186229e-21
YRI GBR NEO251 0.00454651713460839 0.000361789135640203 12.5667597136744 3.21638158612816e-36
YRI GBR NEO253 0.000660055380256303 6.77723125981088e-05 9.73930732112455 2.0494655377896e-22
YRI GBR NEO298 0.00521076493979008 0.00039091858832784 13.3295399486609 1.55855794502744e-40
YRI GBR NEO299 0.000555412454118107 6.59571266120225e-05 8.42081034525946 3.73889103577178e-17
YRI GBR Yana_old 0.00903060906207737 0.000773441413868527 11.6758799052522 1.69304743853554e-31
YRI GBR Yana_old2 0.00669890809131306 0.000576136456356454 11.6272942241455 2.99439143025578e-31
YRI GBR Yana_Young 0.00584998396816705 0.000416741936655558 14.0374256910989 9.19940444056337e-45
