pop1 pop2 pop3 est se z p
YRI FIN CHB 0.0103802703862401 0.000513198060440459 20.2266360424883 5.70657734661723e-91
YRI FIN DA234 0.00526996610343349 0.000509841960041147 10.3364699582753 4.81965289853402e-25
YRI FIN DA236 0.00677006110240774 0.00069148879656984 9.79055790345544 1.2361192554811e-22
YRI FIN DA237_E1_L1 0.000832042396352041 0.000143206726781619 5.81007900292875 6.24433684429871e-09
YRI FIN DA238 0.00382906333342659 0.000335188474517965 11.4236127567726 3.18704245878136e-30
YRI FIN FIN 0.00971231816979856 0.00063017933285545 15.4119909419917 1.35957717639645e-53
YRI FIN GBR 0.00868581418515873 0.000614233666299458 14.1408956586306 2.12561670122229e-45
YRI FIN IK002.maf001_Jomon 0.00817275301199209 0.00066983110845884 12.201214468519 3.06222265984287e-34
YRI FIN Jomon 0.011042465124303 0.00070603355516353 15.6401420917528 3.87861645374717e-55
YRI FIN JpFu1 0.00788469630634662 0.000537926010076485 14.6575851671971 1.20482233807233e-48
YRI FIN JpHi01 0.0063741834750742 0.00044222183618713 14.4139953151859 4.22543126284392e-47
YRI FIN JpIw31 0.0112969734958691 0.000621652238992666 18.1724970767818 8.52297713587937e-74
YRI FIN JpIw32 0.0115528660549433 0.000635291168564374 18.1851513551658 6.76683759261002e-74
YRI FIN JpIw33 0.0106492101680375 0.000633004357384744 16.823280983459 1.64775157521223e-63
YRI FIN JpKa6904 0.0121511993183387 0.000823398068215909 14.7573813777184 2.7578241619029e-49
YRI FIN JpKo13 0.0110629365290289 0.000734470377888127 15.0624679525386 2.85911399233711e-51
YRI FIN JpKo2 0.011222008814506 0.00077104804681223 14.5542276657097 5.49024960918432e-48
YRI FIN JpOd181 0.00821194737406514 0.000691803587498404 11.8703451708887 1.68769862664412e-32
YRI FIN JpOd274 0.0090104050103508 0.000531163469067499 16.9635254212217 1.52889667405993e-64
YRI FIN JpOd282 0.00718360533346384 0.000541073598249143 13.2765770806582 3.16535944893586e-40
YRI FIN JpOd6 0.00740664165221282 0.000488696543357843 15.1559116856478 6.9247796141877e-52
YRI FIN JPT 0.0104678731578629 0.000517478730176262 20.2286056362111 5.48316414890832e-91
YRI FIN Kolyma_River 0.00588782369589145 0.000570755711556914 10.3158384168081 5.97574365013856e-25
YRI FIN M0831 0.00636409347665942 0.000472550360169306 13.4675455000802 2.42804004927686e-41
YRI FIN M9984 0.00535421941149587 0.000359188001292261 14.9064539801799 2.99227221177765e-50
YRI FIN NEO229 0.00340127654143124 0.000274422332090549 12.3943139595102 2.80536287358329e-35
YRI FIN NEO230 0.00415613227120988 0.000346349051645161 11.9998373070988 3.55995507401689e-33
YRI FIN NEO231 0.00347321786586847 0.000267083038081388 13.0042622355152 1.15710194514595e-38
YRI FIN NEO232 0.00600125421958631 0.000436619095544491 13.7448276560199 5.4703164215297e-43
YRI FIN NEO233 3.16177567653252e-05 9.68287612201426e-06 3.26532699240482 0.00109337775346456
YRI FIN NEO234 0.000307581034707848 7.96148953543225e-05 3.86336040936778 0.000111837813287865
YRI FIN NEO235 0.00649835966495085 0.000455326338161833 14.2718729849561 3.27658702127177e-46
YRI FIN NEO236 0.00767896233144963 0.000470409408972746 16.3239981704841 6.66254559136734e-60
YRI FIN NEO237 0.00150096922266361 0.000116171411510982 12.9202977147412 3.45800869477116e-38
YRI FIN NEO238 0.00371883829659265 0.000244028477103158 15.2393619824156 1.93753094766041e-52
YRI FIN NEO239 0.00102888843040715 8.33131037714069e-05 12.349659103209 4.89182695175885e-35
YRI FIN NEO240 0.0104221669907122 0.000575019862754694 18.1248817054488 2.0277871678981e-73
YRI FIN NEO241 0.00275446028926312 0.000232571744540956 11.8434863818036 2.32579600657598e-32
YRI FIN NEO242 0.00195815178621387 0.000155210653529896 12.6160913679595 1.72156058562116e-36
YRI FIN NEO243 0.000569338177698212 4.62576427168799e-05 12.3079807845559 8.20503350449655e-35
YRI FIN NEO246 0.00306193204600985 0.000238979205150311 12.8125459455101 1.39481803956916e-37
YRI FIN NEO247 0.00589744015647437 0.000468273024587872 12.594020681983 2.27769278126436e-36
YRI FIN NEO248 0.00562515590322464 0.000386267465831488 14.5628519117338 4.83959176016089e-48
YRI FIN NEO249 0.00728639946893826 0.000446407268806303 16.3223136765272 6.84898404089816e-60
YRI FIN NEO250 0.00237049395969713 0.000214736980091955 11.0390579148595 2.47615646672172e-28
YRI FIN NEO251 0.00570263397769453 0.00039110997655559 14.5806405347064 3.73000489420112e-48
YRI FIN NEO253 0.000854335100430829 7.58611384373373e-05 11.2618280984081 2.02513500594463e-29
YRI FIN NEO298 0.00650029024226486 0.000411410270149307 15.8000193818832 3.11020935389027e-56
YRI FIN NEO299 0.000677960471101656 6.35061441842527e-05 10.6755099023909 1.32527903294912e-26
YRI FIN Yana_old 0.00993726425101184 0.000808889678434685 12.2850674399034 1.08954125500088e-34
YRI FIN Yana_old2 0.00764351984604339 0.000627593947077562 12.1790847117567 4.01765254569089e-34
YRI FIN Yana_Young 0.00712383028870362 0.000449965607516466 15.8319439746135 1.87342552946605e-56
