pop1 pop2 pop3 est se z p
YRI JPT ACB 0.00193284420907211 0.000109211667593062 17.6981475667431 4.33327680297031e-70
YRI JPT CDX 0.0314980021191271 0.00124186759336146 25.3634141735424 6.39199452288537e-142
YRI JPT CHB 0.0336985936113885 0.00134023632808063 25.143769725783 1.65329930844554e-139
YRI JPT CHS 0.0331858800001105 0.00131493521223396 25.2376540618534 1.5474824923914e-140
YRI JPT CLM 0.0158525769718623 0.000770953640862457 20.5622960080041 5.97383085052435e-94
YRI JPT FIN 0.0146883188710697 0.000799054779319269 18.3821175359004 1.82695728608531e-75
YRI JPT GBR 0.0131955146217474 0.000788208404463312 16.7411493546965 6.57071180888706e-63
YRI JPT GWD 0.000575586065104913 4.06980068541386e-05 14.1428563607012 2.06720339098997e-45
YRI JPT IBS 0.0125767521763042 0.000775351882075368 16.2207024540139 3.6005316188699e-59
YRI JPT JPT 0.0353479481374645 0.00138126143153605 25.5910628722582 1.91831698092963e-144
YRI JPT KHV 0.0315267025064871 0.00127313718198621 24.7630050811199 2.24568566299583e-135
YRI JPT PEL 0.0243994714442523 0.00122935045278008 19.8474498374934 1.15937494469695e-87
YRI JPT PJL 0.0153964910641725 0.000754938465097509 20.3943656019486 1.87632376024932e-92
YRI JPT PUR 0.0130219344427335 0.000674754209111309 19.2987820852339 5.49900520162302e-83
