pop1 pop2 pop3 est se z p
YRI Jomon CHB 0.0303714365742195 0.00168334529788517 18.0423093303411 9.06743309005062e-73
YRI Jomon DA234 0.0235966796308121 0.00297098169846528 7.9423847151268 1.98330664340993e-15
YRI Jomon DA236 0.0202734080222907 0.00297967887136771 6.80389025042317 1.01831127415982e-11
YRI Jomon DA237_E1_L1 0.0187206129912347 0.00299342519548055 6.25391040988728 4.00300702534844e-10
YRI Jomon DA238 0.0184448830324492 0.00228613575849848 8.06814860573447 7.13721447157516e-16
YRI Jomon FIN 0.0168080937077281 0.00135875267567208 12.3702377987328 3.78698577830928e-35
YRI Jomon GBR 0.0157654065908551 0.00137503945967084 11.4654212138967 1.96799720649706e-30
YRI Jomon IK002.maf001_Jomon 0.0492976142102513 0.00385640234018871 12.7833171597544 2.03213865731473e-37
YRI Jomon Jomon 0.0737795321297965 0.00604727958903338 12.2004499781347 3.09111007699071e-34
YRI Jomon JpFu1 0.0451036164160915 0.00375693565013037 12.0054269267365 3.32742366070398e-33
YRI Jomon JpHi01 0.0394729204156263 0.00332389259223777 11.8755102098686 1.58663059413539e-32
YRI Jomon JpIw31 0.031926626806757 0.00257324500303097 12.4071461400493 2.39021361010899e-35
YRI Jomon JpIw32 0.0389649968073371 0.00334727255240036 11.6408198607535 2.55547208219118e-31
YRI Jomon JpIw33 0.0355981888895336 0.00294590132227876 12.0839719308714 1.28365716655289e-33
YRI Jomon JpKa6904 0.0582660939223317 0.00403981941047375 14.4229451869233 3.7115997397585e-47
YRI Jomon JpKo13 0.0574243919428806 0.0041882594661525 13.7108009680291 8.7486687944458e-43
YRI Jomon JpKo2 0.0614007081906313 0.00414446442608492 14.8151128537092 1.16992619922468e-49
YRI Jomon JpOd181 0.0513293086434093 0.00379175483077837 13.5370853164766 9.44632437260933e-42
YRI Jomon JpOd274 0.0533319788703775 0.00348741577925711 15.2926929985212 8.55386047787359e-53
YRI Jomon JpOd282 0.0456695884367561 0.00347852405336125 13.129013264297 2.24563533481137e-39
YRI Jomon JpOd6 0.0517646717362286 0.00379951038878167 13.6240374257345 2.88184918468575e-42
YRI Jomon JPT 0.035635725002344 0.00192654730037179 18.4971970298715 2.17495038562626e-76
YRI Jomon Kolyma_River 0.02803738317757 0.00330845851618106 8.47445510966643 2.36182385812851e-17
YRI Jomon M0831 0.025889591919661 0.00234454441953532 11.0424830103207 2.3835393949086e-28
YRI Jomon M9984 0.025105938352586 0.00285125258907656 8.80523123372843 1.3058308529843e-18
YRI Jomon NEO229 0.0216955941255005 0.00268082913523579 8.09286718065761 5.8276400682935e-16
YRI Jomon NEO230 0.0228130260637371 0.00271691129502572 8.39667680925193 4.59291937497574e-17
YRI Jomon NEO231 0.022218029836884 0.0024228021776931 9.17038544931438 4.71330670866682e-20
YRI Jomon NEO232 0.0236402159400942 0.00254477258458135 9.28971652843521 1.5469978331931e-20
YRI Jomon NEO233 0.0188367098159863 0.00312842509796529 6.02114777439856 1.73184550468122e-09
YRI Jomon NEO234 0.0195042665583095 0.00311349542826892 6.26442755663648 3.74197469040558e-10
YRI Jomon NEO235 0.0255413014454053 0.0020904919284787 12.2178426510321 2.49621236138539e-34
YRI Jomon NEO236 0.0331746676728388 0.00248222696076289 13.3648808901193 9.69901388317781e-41
YRI Jomon NEO237 0.0207232832182041 0.00278715338755416 7.43528623531898 1.04341774468381e-13
YRI Jomon NEO238 0.0250043536309285 0.00264324882118564 9.45970482631773 3.0881370878681e-21
YRI Jomon NEO239 0.0204330411563246 0.00307284182761061 6.64955839012806 2.93973709031235e-11
YRI Jomon NEO240 0.0351918500029026 0.00249784119448448 14.0889060844261 4.44392010646544e-45
YRI Jomon NEO241 0.0209699889708014 0.00274443171788195 7.64092210207557 2.15671523421586e-14
YRI Jomon NEO242 0.0213908399605269 0.00282283789390556 7.57777837923642 3.51522190349259e-14
YRI Jomon NEO243 0.0194752423521218 0.00307402579076606 6.33541930930532 2.36696665408397e-10
YRI Jomon NEO246 0.0219422998780984 0.00271999597817098 8.06703394203293 7.20265303360663e-16
YRI Jomon NEO247 0.0236837522493758 0.00246727050020155 9.59917133019709 8.05897222351919e-22
YRI Jomon NEO248 0.0260782492598824 0.00280209353021512 9.30670192792615 1.31863305573464e-20
YRI Jomon NEO249 0.0265426365588901 0.00217492007378105 12.2039595288421 2.96068938593819e-34
YRI Jomon NEO250 0.0200992627851627 0.00270988863636568 7.41700692620286 1.19796684333683e-13
YRI Jomon NEO251 0.0259911766413192 0.00288947405044913 8.99512374484872 2.35966241623754e-19
YRI Jomon NEO253 0.01906890346549 0.00299772086882698 6.36113377459045 2.00269923983358e-10
YRI Jomon NEO298 0.0243367968886049 0.00251150354446706 9.69013041698458 3.32104322915509e-22
YRI Jomon NEO299 0.0195913391768734 0.00297398787419439 6.58756525097816 4.47097515427675e-11
YRI Jomon Yana_old 0.0284001857549194 0.00324546199659526 8.75073742496859 2.11963044996444e-18
YRI Jomon Yana_old2 0.0226824171358913 0.00280256584050974 8.09344665806881 5.79997009080563e-16
YRI Jomon Yana_Young 0.0220438845997565 0.00180501469545569 12.2125790195804 2.6631142593893e-34
