pop1 pop2 pop3 est se z p
YRI FIN ASW 0.00226314633198255 0.000143235189594897 15.8002117942055 3.10073078595562e-56
YRI FIN BEB 0.00744929774213495 0.000444268913154636 16.767542183493 4.21590102694398e-63
YRI FIN CEU 0.00885920106635379 0.000590084911787302 15.0134343200206 5.99610202555572e-51
YRI FIN CHB 0.0104060074329741 0.000503988002237107 20.6473316562772 1.03162675919292e-94
YRI FIN ESN 4.487038698787e-05 5.3698540844302e-06 8.355978818488 6.4892354269533e-17
YRI FIN FIN 0.00979233554124277 0.000618912326953185 15.8218460269632 2.19947957463475e-56
YRI FIN GBR 0.00880090249583225 0.00060616966023438 14.5188766003718 9.20057249244455e-48
YRI FIN GIH 0.00721174488134522 0.000444385145118003 16.2285912582208 3.16643340770971e-59
YRI FIN ITU 0.00705666508202573 0.000428149801048032 16.4817665797165 4.96136976409463e-61
YRI FIN JPT 0.0105040945693214 0.000507134471906903 20.7126416191437 2.66437455286058e-95
YRI FIN LWK 0.000313124348210869 3.22236359887031e-05 9.71722583760082 2.54624014458091e-22
YRI FIN MSL 9.42374243020252e-05 1.01393019153447e-05 9.29427144874808 1.48217770501749e-20
YRI FIN MXL 0.0090282047260427 0.000499672834849141 18.0682320438101 5.67017815753287e-73
YRI FIN STU 0.00685592506117231 0.000418126805782792 16.3967604237596 2.01711590970953e-60
YRI FIN TSI 0.00806121812349702 0.000555621343660676 14.5084745492068 1.07075356897848e-47
