pop1 pop2 pop3 est se z p
YRI JPT ASW 0.0030371648870953 0.000135975105570291 22.3361833355979 1.64513672803677e-110
YRI JPT BEB 0.0135074387978577 0.000545516287970127 24.760835002964 2.36986631959376e-135
YRI JPT CEU 0.0087678790269476 0.000491555116711495 17.8370211780212 3.6462276110232e-71
YRI JPT CHB 0.030159611229414 0.00102751644426112 29.3519499350705 2.25644909134154e-189
YRI JPT ESN 8.60744744825955e-05 9.61740920230049e-06 8.94986088997923 3.5593061889788e-19
YRI JPT FIN 0.0105040945693214 0.000507134471906903 20.7126416191437 2.66437455286058e-95
YRI JPT GBR 0.00876411466657346 0.000506428115045163 17.3057427228184 4.2575517498348e-67
YRI JPT GIH 0.0110502218336585 0.000477337181788648 23.1497194336545 1.46324221708081e-118
YRI JPT ITU 0.0115904510482812 0.000485945487255853 23.8513400211468 9.80732347382475e-126
YRI JPT JPT 0.0315090120110277 0.00107169768267909 29.4010265397417 5.32819436819874e-190
YRI JPT LWK 0.00041314658478594 2.78281025752186e-05 14.8463799739568 7.34280935380926e-50
YRI JPT MSL 0.000171044844512138 1.52757351737114e-05 11.1971595846003 4.21016549551472e-29
YRI JPT MXL 0.0163115400082713 0.000669386618203148 24.3678907894167 3.74664847139482e-131
YRI JPT STU 0.0115293242567988 0.000497558564641485 23.1717933849782 8.76740439753717e-119
YRI JPT TSI 0.00826338602455322 0.000490247078206495 16.8555538459989 9.55091865085142e-64
