pop1 pop2 pop3 est se z p
YRI FIN ACB 0.000950029413612984 5.55534072310818e-05 17.1011907453526 1.45402927312563e-65
YRI FIN ASW 0.00188024571829013 0.000105029789602855 17.9020230869722 1.13714973234854e-71
YRI FIN BEB 0.00561631122676613 0.0003159005460824 17.7787322510711 1.03289229646656e-70
YRI FIN CDX 0.00536079449594983 0.000305462789485153 17.5497464191474 5.97461700556768e-69
YRI FIN CEU 0.00744345693863956 0.000416193730687846 17.8845964986971 1.5547459640139e-71
YRI FIN CHB 0.00573987934614046 0.000327656713106329 17.5179665684975 1.04493964283423e-68
YRI FIN CHS 0.00560298422953743 0.000327365578417478 17.1153737562235 1.13981744607272e-65
YRI FIN CLM 0.00648344289647079 0.000353191880913363 18.3567155612537 2.91726377840621e-75
YRI FIN DevilsCave_N 0.00598161703067269 0.000351132765475213 17.0352004108114 4.50196797466556e-65
YRI FIN Ekven_IA 0.00622449905078264 0.000422823172139326 14.7212817577831 4.70654196482254e-49
YRI FIN ESN 5.80608849756016e-05 5.00179132409695e-06 11.6080182505583 3.75210916240733e-31
YRI FIN FIN 0.00803525195783159 0.000450484523978484 17.8369101048527 3.65348131800777e-71
YRI FIN Finnish_IA 0.00862258834490793 0.000626944625951563 13.7533491603357 4.86253617598784e-43
YRI FIN GBR 0.00744492979505812 0.000429253745948562 17.343890100729 2.19374583562171e-67
YRI FIN GIH 0.00572135228124189 0.000320158097001703 17.870396953326 2.00562125558537e-71
YRI FIN GWD 0.00023193949101461 1.77506450699733e-05 13.0665387145256 5.11400038899399e-39
YRI FIN IBS 0.00690852682236945 0.000405453144158722 17.0390263878802 4.21693254143097e-65
YRI FIN ITU 0.00547170043453593 0.000303480875817474 18.0298030964786 1.13695821032952e-72
YRI FIN JPT 0.00568374318212769 0.000334037925089211 17.0152631040614 6.32882754808617e-65
YRI FIN KHV 0.0054610463678714 0.00030941371686039 17.6496582739913 1.02373760263693e-69
YRI FIN Kolyma_M 0.0065031907987432 0.000513941248995595 12.6535684992253 1.06906441412586e-36
YRI FIN LWK 0.000349891340065806 2.43118387307049e-05 14.3918090252839 5.8252049971594e-47
YRI FIN Magadan_BA 0.00655284450956781 0.000413669946023346 15.8407555892349 1.62852176724211e-56
YRI FIN MSL 0.000140266211910819 1.10883638364135e-05 12.6498565505394 1.12079273370655e-36
YRI FIN MXL 0.00669021686223234 0.000359857834755588 18.5912774881677 3.7806516238437e-77
YRI FIN PEL 0.00684376616351016 0.000394102482922777 17.3654479737221 1.50718953198485e-67
YRI FIN PJL 0.00587906783946401 0.00032471724822548 18.105191121174 2.90003043919532e-73
YRI FIN PUR 0.00603149322017789 0.000331034176890696 18.2201526042715 3.57157569712111e-74
YRI FIN Saami_IA 0.00692730342398931 0.000444941301356083 15.5690276512349 1.18190239195596e-54
YRI FIN STU 0.00544826130503784 0.000302750733456375 17.9958649243798 2.09919049706682e-72
YRI FIN TSI 0.00684852493921035 0.000399038222033262 17.1625788234379 5.06154041591711e-66
YRI FIN Uelen_IA 0.00575003958309913 0.000532523829016643 10.7977132097866 3.5288289020828e-27
YRI FIN UstBelaya_EBA 0.00615963607419953 0.000389688802436396 15.8065513704487 2.80401712225126e-56
YRI FIN UstBelaya_MED 0.00582384411289748 0.000514139526083981 11.3273611878387 9.60551290372579e-30
YRI FIN UstBelaya_N 0.00574225350825609 0.000429712185440225 13.3630222805373 9.94430621888081e-41
YRI FIN Yana_MED 0.00572281163275013 0.000343385823360681 16.6658354638569 2.32220972857083e-62
YRI FIN Yana_UP 0.00767338656211136 0.0004717437763241 16.2660048679467 1.72021647957167e-59
