pop1 pop2 pop3 est se z p
YRI FIN CDX 0.0045358271551164 0.000192002854347128 23.6237485663413 2.19765421439768e-123
YRI FIN CHB 0.00582447166526029 0.000241047795236125 24.1631401753945 5.43293912225056e-129
YRI FIN CHS -0.00140674895266361 6.97920210134271e-05 -20.1563005661202 2.36949635766176e-90
YRI FIN DA234 -0.00177485162417621 0.000281570313993528 -6.30340464164486 2.91177386535426e-10
YRI FIN DA236 -0.000404827789383098 0.000277306506358465 -1.45985680141161 0.14432943375488
YRI FIN DA237_E1_L1 0.00497429617864415 0.000312730036899783 15.9060390487474 5.7540661721141e-57
YRI FIN DA238 0.0044392395458093 0.000290437851878018 15.2846452936642 9.67885267504879e-53
YRI FIN FIN 0.00713949100738476 0.000284551616245435 25.0903196460031 6.34331981782442e-139
YRI FIN GBR 0.00701723902602927 0.000287671868773339 24.393205550308 2.01907421834448e-131
YRI FIN IBS 0.00410520508619158 0.000173181993452827 23.7045723076851 3.23473262592969e-124
YRI FIN JPT 0.00101008705691137 9.09981687022816e-05 11.1000811479632 1.25330043759161e-28
YRI FIN Kolyma_River 0.000921492022682829 0.000343428115890881 2.6832166035457 0.00729177462552499
YRI FIN M0831 0.00126237418121903 0.000359312673826342 3.51330268363743 0.000442572992902598
YRI FIN M9984 0.00127714604310205 0.000291072683510351 4.38772208954685 1.14544006551458e-05
YRI FIN NEO229 -0.00180811426615858 0.000279987205490115 -6.45784603976276 1.06203704506179e-10
YRI FIN NEO230 -0.00182127196747074 0.000283033663226842 -6.43482456011267 1.23616027154342e-10
YRI FIN NEO231 -0.00192720750764214 0.000252606662615985 -7.62928217206965 2.36064435401648e-14
YRI FIN NEO232 -0.00183736170776979 0.000334096524912501 -5.49949362164421 3.8088348422294e-08
YRI FIN NEO233 -0.00232363679848139 0.000291231097549491 -7.97866992238532 1.47918551068138e-15
YRI FIN NEO234 -0.00265086063826577 0.000295437768929398 -8.97265318470252 2.89456350091487e-19
YRI FIN NEO235 -0.00199738325068897 0.000310353161655055 -6.43583986719292 1.22792437628167e-10
YRI FIN NEO236 -0.00202896840339313 0.000270195056630692 -7.50927285159907 5.94566870666036e-14
YRI FIN NEO237 -0.00160841448238893 0.000288857757268309 -5.56818863927871 2.57401077899748e-08
YRI FIN NEO238 -0.00156782005951795 0.000268830279147052 -5.83200696176172 5.47646335096183e-09
YRI FIN NEO239 -0.00190027212498927 0.000233638420266043 -8.13338886141003 4.17452808951285e-16
YRI FIN NEO240 -0.00202996450784555 0.000276061350996218 -7.35330932968359 1.93358756956121e-13
YRI FIN NEO241 -0.00162394420452409 0.000278681408122147 -5.82724271226703 5.63506295777405e-09
YRI FIN NEO242 -0.0015979660473071 0.000251397999759704 -6.35631965582262 2.06644788599404e-10
YRI FIN NEO243 -0.00238054686076191 0.000318753820246024 -7.46829280014442 8.12419130991124e-14
YRI FIN NEO246 -0.0019281914273306 0.000290366341763795 -6.64054730179138 3.12520518521406e-11
YRI FIN NEO247 -0.00194556914527627 0.000260465941112633 -7.46957217118438 8.045597257303e-14
YRI FIN NEO248 -0.00185827925996699 0.000278066493050247 -6.68285933908331 2.34324471335584e-11
YRI FIN NEO249 -0.00211513352276232 0.00026650261138703 -7.93663338514386 2.07742938497514e-15
YRI FIN NEO250 -0.00194348627210817 0.000284405568268759 -6.83350288793083 8.28658275092977e-12
YRI FIN NEO251 0.00706748655513234 0.000310519374549234 22.7602112280171 1.13696975635626e-114
YRI FIN NEO253 0.00767138173333411 0.000359016990594208 21.3677400633246 2.66734792301016e-101
YRI FIN NEO298 0.00667756569182335 0.000326365783835167 20.4603730616439 4.8565326119679e-93
YRI FIN NEO299 0.00679998833989164 0.00039247698277118 17.3258270889637 3.00346147148971e-67
YRI FIN Yana_old 0.00679262978458754 0.000366143771783018 18.551810267069 7.88511344518968e-77
YRI FIN Yana_old2 0.00627803297367277 0.000341187357345242 18.400543978305 1.3005263019839e-75
YRI FIN Yana_Young 0.0069041408162183 0.000336361674581391 20.5259437622037 1.26287313774303e-93
