pop1 pop2 pop3 est se z p
YRI FIN CDX 0.00448531609147963 0.00018866897128323 23.7734698025478 6.28446179496745e-125
YRI FIN CHB 0.00579902680491734 0.000235049433841585 24.6715199868368 2.16274044372908e-134
YRI FIN CHS -0.00143214369255262 6.72972494763898e-05 -21.2808651719869 1.7076229869102e-100
YRI FIN DevilsCave_N -0.00193252268452714 0.00015794619563206 -12.2353227742756 2.0130302833136e-34
YRI FIN Ekven_IA -0.000386418411052701 9.38917270186362e-05 -4.11557464456909 3.86215978717679e-05
YRI FIN FIN 0.00707306259055207 0.000275226505885182 25.6990603713974 1.1974954686871e-145
YRI FIN Finnish_IA -0.000586275276952379 0.000275856200133128 -2.12529309353729 0.0335621642093536
YRI FIN GBR 0.00696010969508294 0.000279708905653504 24.8834039760784 1.12532844257484e-136
YRI FIN IBS 0.00405305546949022 0.000169514669047598 23.9097624545529 2.42427266074131e-126
YRI FIN JPT 0.00102114093115069 9.2862601145694e-05 10.9962559582904 3.98329017889472e-28
YRI FIN Kolyma_M 0.00107435101822574 0.000336680295573106 3.19101246004598 0.00141775165852981
YRI FIN Magadan_BA 0.00127780364036146 0.000274637923378704 4.6526846134045 3.27641176084653e-06
YRI FIN Saami_IA 0.001429768535241 0.000163690670702619 8.73457558151554 2.44572681000378e-18
YRI FIN Uelen_IA -0.00252036571017911 0.000206382068537564 -12.2121351338252 2.67768597383873e-34
YRI FIN UstBelaya_EBA -0.000673368764813288 0.000127871081039851 -5.26599727895811 1.39430349050439e-07
YRI FIN UstBelaya_MED 0.00671581384950996 0.000385725225049647 17.4108754454562 6.82325067925913e-68
YRI FIN UstBelaya_N -0.00197384605657512 0.00027620964970111 -7.1461879000645 8.92209123993063e-13
YRI FIN Yana_MED 0.00692242424420411 0.000329499377191842 21.0089145029665 5.43632705171056e-98
YRI FIN Yana_UP 0.00644507644763453 0.000313646901349441 20.5488286984666 7.88426205187924e-94
