pop1 pop2 pop3 est se z p
YRI FIN DA234 -0.00235002032874267 0.000172521484327749 -13.6216097253035 2.9792769544438e-42
YRI FIN DA236 -0.0027866642494687 0.00019655518512335 -14.1775158346492 1.26236661977425e-45
YRI FIN DA237_E1_L1 -0.00216693427091695 0.000174131243257654 -12.4442588841489 1.50272712321811e-35
YRI FIN DA238 -0.00235545790856287 0.000172786716046501 -13.632170125445 2.57798578578035e-42
YRI FIN FIN 0.00101239489752072 4.52080213814771e-05 22.3941430432858 4.48863663716062e-111
YRI FIN Kolyma_River -0.00204417693304506 0.000155050857945197 -13.1839124280601 1.08608963487563e-39
YRI FIN M0831 -0.00202887561232869 0.000161833141840232 -12.5368363319033 4.69361881690697e-36
YRI FIN M9984 -0.0021088114070815 0.000161047134700408 -13.094373960794 3.54585885740581e-39
YRI FIN NEO229 -0.00206207422853831 0.000159142358771262 -12.9574190332454 2.13304328193831e-38
YRI FIN NEO230 -0.00174884747600778 0.000153282102978147 -11.4093390032436 3.75572412357334e-30
YRI FIN NEO231 -0.00191284661724584 0.000164966030905317 -11.5953969841447 4.34844649168241e-31
YRI FIN NEO232 -0.00167121867924778 0.000159083412641424 -10.5052981420176 8.16643377294218e-26
YRI FIN NEO233 -0.0017446428637996 0.000165369598432163 -10.5499613008692 5.08180214844402e-26
YRI FIN NEO234 -0.00235035746832408 0.000169967948995787 -13.8282392781143 1.72183597883119e-43
YRI FIN NEO235 -0.00179328728911763 0.000160209528163977 -11.1933872452466 4.39323611467486e-29
YRI FIN NEO236 -0.00201767294566634 0.000147651291756028 -13.6651222056373 1.64028178407774e-42
YRI FIN NEO237 -0.00235095950329088 0.000166215235598966 -14.1440674485649 2.03192355124385e-45
YRI FIN NEO238 -0.00166541506216775 0.000155212175044324 -10.7299254178492 7.36555990572493e-27
YRI FIN NEO239 -0.00179143302141987 0.000162328244319254 -11.0358676577357 2.5656307840285e-28
YRI FIN NEO240 -0.00196336457538058 0.000162861676837511 -12.0554117672474 1.81622539200375e-33
YRI FIN NEO241 -0.00220574866929695 0.000174193816439699 -12.6626117641812 9.52759897953599e-37
YRI FIN NEO242 0.000783494613013867 0.000134567518710173 5.82231596839748 5.80376918497538e-09
YRI FIN NEO243 0.000466766425116385 0.000124745217384639 3.74175808020886 0.000182737384600227
YRI FIN NEO246 0.000698790701323939 0.000136841929894543 5.10655397700443 3.28086922799454e-07
YRI FIN NEO247 -0.00174583730117374 0.000177121200781123 -9.85673817405491 6.4097885397859e-23
YRI FIN NEO248 -0.00181320260581962 0.000153338748394137 -11.8248167851157 2.9053591798641e-32
YRI FIN NEO249 -0.00185764241892947 0.000153018207789468 -12.1400089947814 6.48189118167195e-34
YRI FIN NEO250 -0.00179854666658766 0.00014651470045437 -12.2755372738027 1.22575397981745e-34
YRI FIN NEO251 -0.00197893079148235 0.000175806064307739 -11.2563283824973 2.15553542552918e-29
YRI FIN NEO253 -0.00190550660693053 0.000171598229791342 -11.1044654088073 1.19329265634017e-28
YRI FIN NEO298 -0.00222716666527609 0.0001658332123938 -13.4301605397795 4.02537901932073e-41
YRI FIN NEO299 -0.0022346174500253 0.000160446094463331 -13.9275278560053 4.31017661838976e-44
YRI FIN Yana_old -0.00210578196712852 0.000161522617745395 -13.0370718139786 7.52936063140171e-39
YRI FIN Yana_old2 -0.00187208644185312 0.000163597389394391 -11.4432537632981 2.54170900921519e-30
YRI FIN Yana_Young -0.00188903011395894 0.000160570542722167 -11.7644873208625 5.94866029448244e-32
