pop1 pop2 pop3 est se z p
YRI FIN ASW 0.000120639923284423 5.04117202283384e-05 2.39309277164097 0.0167070161090806
YRI FIN BEB 0.000669184700032026 8.03033336767738e-05 8.33321195263871 7.86781252824971e-17
YRI FIN CEU -0.000173133333342291 5.70233146567175e-05 -3.03618501282432 0.00239592299289709
YRI FIN CHB -0.000653934325322357 7.42433979738115e-05 -8.80797947250508 1.27421762145234e-18
YRI FIN ESN 0.000477274944031371 5.40108420266778e-05 8.8366506820173 9.86309244192013e-19
YRI FIN FIN 0.00360250777849062 0.000202829638395638 17.7612493271994 1.41059560284717e-70
YRI FIN GBR 0.00320525746435554 0.000192945647745712 16.612229930057 5.68403997923849e-62
YRI FIN GIH 0.000643058680394127 6.72029926963059e-05 9.56889945809624 1.08049676645755e-21
YRI FIN ITU 0.00050917301680078 5.99408106420616e-05 8.4945967754978 1.98621241354969e-17
YRI FIN JPT 3.17648735483743e-05 2.54691895710034e-05 1.24718823344652 0.212328486308639
YRI FIN LWK -0.000658386980423537 7.81341144233772e-05 -8.42637029013989 3.5655264848398e-17
YRI FIN MSL 0.000941165587733931 6.86590932974952e-05 13.7078068254692 9.11722333563151e-43
YRI FIN MXL 0.00194451360801174 0.000111617583670372 17.4212121788469 5.69575595659551e-68
YRI FIN STU 0.00128935248173788 8.10463093993645e-05 15.9088364577399 5.50266578855828e-57
YRI FIN TSI 0.00271503138689745 0.000166913840761961 16.2660650219499 1.71852781930362e-59
