pop1 pop2 pop3 est se z p
YRI FIN ACB -0.00086039234820091 5.76026876099783e-05 -14.9366702127952 1.90246884266893e-50
YRI FIN CDX -0.00114853325461611 6.40573789126518e-05 -17.9297572600065 6.90806154287445e-72
YRI FIN CHB -0.00170089561190157 8.36153680476231e-05 -20.3419018730245 5.47649976975088e-92
YRI FIN CHS 0.0016005317151287 7.34989865882351e-05 21.776241951408 3.89763243765557e-105
YRI FIN CLM -0.00129220849951284 6.06339668152974e-05 -21.3116272509293 8.85632984590408e-101
YRI FIN FIN 0.00268603932393595 0.000112366707582004 23.9042273439908 2.76790337508698e-126
YRI FIN GBR 0.00213837972137531 9.61861465891953e-05 22.2316809353866 1.6966126301013e-109
YRI FIN GWD -0.00145873751280079 7.99920147103655e-05 -18.236039160691 2.671282844194e-74
YRI FIN IBS -0.00103995545131937 5.54925733558592e-05 -18.7404437824574 2.31687201121334e-78
YRI FIN JPT 0.000991038875652442 5.05441056429191e-05 19.6074074918621 1.33674216501206e-85
YRI FIN KHV 0.000179261709983828 7.11875251066315e-05 2.51816185090453 0.0117969098155073
YRI FIN PEL 0.000659353811851282 7.52255287388155e-05 8.76502728402975 1.8673143217045e-18
YRI FIN PJL -0.00117988346926666 7.1075713820127e-05 -16.600374528107 6.92574380775417e-62
YRI FIN PUR -0.00142316814877636 6.68709332979313e-05 -21.2823132351943 1.65568944510835e-100
