pop1 pop2 pop3 est se z p
YRI FIN CHB 0.00573987934614046 0.000327656713106329 17.5179665684975 1.04493964283423e-68
YRI FIN DevilsCave_N -0.309164348794143 0.0117872233487873 -26.2287681878829 1.24871144922946e-151
YRI FIN Ekven_IA -0.335629028128175 0.0128143760616779 -26.1916012541486 3.3124175927553e-151
YRI FIN FIN 0.00803525195783159 0.000450484523978484 17.8369101048527 3.65348131800777e-71
YRI FIN Finnish_IA -0.27238748282634 0.0103567421479303 -26.3004986448152 1.89269153603369e-152
YRI FIN GBR 0.00744492979505812 0.000429253745948562 17.343890100729 2.19374583562171e-67
YRI FIN JPT 0.00568374318212769 0.000334037925089211 17.0152631040614 6.32882754808617e-65
YRI FIN Kolyma_M -0.273800414523778 0.0105095324276923 -26.0525781149239 1.25783201717473e-149
YRI FIN Magadan_BA -0.27960135110312 0.0107022528289676 -26.1254668125882 1.87309874545362e-150
YRI FIN Saami_IA -0.308573294798309 0.0118102773739107 -26.1275230910289 1.77498561463379e-150
YRI FIN Uelen_IA -0.414328792792876 0.0157889574954679 -26.2416814353833 8.89442370577588e-152
YRI FIN UstBelaya_EBA -0.276946470533398 0.0106039700127579 -26.1172438435979 2.32263686517118e-150
YRI FIN UstBelaya_MED -0.42304294910781 0.0161042702163714 -26.2689922252889 4.33765265556994e-152
YRI FIN UstBelaya_N -0.280141745103999 0.0107535817927043 -26.051017280034 1.31011105703459e-149
YRI FIN Yana_MED -0.274320667301114 0.0104307927200348 -26.2991197950101 1.96268939610495e-152
YRI FIN Yana_UP -0.278854323068083 0.0106195798254978 -26.2585081189886 5.71493728812674e-152
