pop1 pop2 pop3 est se z p
YRI FIN ACB -0.000883392854125187 5.70069449689395e-05 -15.4962321627042 3.67840514960657e-54
YRI FIN CDX -0.00115316645632474 6.31820382107112e-05 -18.2514918635411 2.01335269050691e-74
YRI FIN CHB -0.00171847453005981 8.31239413359172e-05 -20.6736411007651 5.98279940831167e-95
YRI FIN CHS 0.00160168866324747 7.20356421384532e-05 22.2346690568678 1.5873475315571e-109
YRI FIN CLM -0.00127216638617608 5.98635362289198e-05 -21.2511065385661 3.21987406117008e-100
YRI FIN FIN 0.00266438459646762 0.000109396535309089 24.3552923220071 5.09518427134329e-131
YRI FIN GBR 0.00212457335785212 9.41688609325521e-05 22.5613152459584 1.03984794349881e-112
YRI FIN GWD -0.00146399457673586 7.81624619631449e-05 -18.7301492297692 2.8112687348667e-78
YRI FIN IBS -0.00104971132545505 5.67151292400889e-05 -18.508488643504 1.76380278428722e-76
YRI FIN JPT 0.000996458855219822 4.98364970737649e-05 19.9945604873658 6.14175918514233e-89
YRI FIN KHV 0.000180566360861854 6.99225948176693e-05 2.58237500099503 0.00981229003812434
YRI FIN PEL 0.000650672390144062 7.36997148727108e-05 8.82869616616373 1.05902973876822e-18
YRI FIN PJL -0.00119719356749871 7.15434347021746e-05 -16.7338005574161 7.43395829487359e-63
YRI FIN PUR -0.00141705966379009 6.66038759864346e-05 -21.2759339122953 1.89697855897878e-100
