pop1 pop2 pop3 est se z p
YRI FIN ASW 0.00194261690904449 0.000107628428957427 18.0492916960899 7.99089085318581e-73
YRI FIN BEB 0.00580261454630198 0.000326518407393376 17.7711712874773 1.1819686619023e-70
YRI FIN CEU 0.00769037002456 0.000420105965037427 18.3057863124483 7.44099767610945e-75
YRI FIN CHB 0.0059302816462881 0.000338373611764174 17.5258396048364 9.09884237620993e-69
YRI FIN ESN 5.99868707640305e-05 5.23909900108336e-06 11.4498448591306 2.35566731022266e-30
YRI FIN FIN 0.00830179596734381 0.000456320524235586 18.1929050446519 5.87424790299879e-74
YRI FIN GBR 0.00769189173832087 0.000433560569617895 17.7412160545409 2.01526120637371e-70
YRI FIN GIH 0.00591114000474791 0.000332170198964251 17.7955157421695 7.65592819245811e-71
YRI FIN ITU 0.00565320674949965 0.000310292787554008 18.2189434503555 3.65137233744217e-74
YRI FIN JPT 0.00587228334300285 0.00034269606515942 17.1355435326376 8.05962208755831e-66
YRI FIN LWK 0.00036149787601069 2.77205303427589e-05 13.0407994198105 7.17012796545909e-39
YRI FIN MSL 0.000144919098804474 1.12382902974881e-05 12.8951197173529 4.79517897668283e-38
YRI FIN MXL 0.0069121435966178 0.000375940335126656 18.3862782222851 1.69204188783389e-75
YRI FIN STU 0.00562899010118963 0.000314867303456682 17.877340833403 1.77083956614016e-71
YRI FIN TSI 0.00707570304216485 0.000401740754256407 17.6126095428418 1.97143046647969e-69
