pop1 pop2 pop3 est se z p
YRI FIN CHB 0.00504544250237975 0.000239080071153857 21.1035678466601 7.37554576273295e-99
YRI FIN DevilsCave_N 0.00297627227630725 0.000139175129627252 21.3850871508329 1.83943448931037e-101
YRI FIN Ekven_IA 0.00262884114335023 0.000112923038056762 23.2799363937482 7.07998601578083e-120
YRI FIN FIN 0.00750394669065305 0.000385517634078588 19.4646003900391 2.19197421631066e-84
YRI FIN Finnish_IA 0.00714044144990274 0.000457129524537053 15.6201712351309 5.30629358366717e-55
YRI FIN GBR 0.00692695152460432 0.000381921902908558 18.1370889489488 1.62408817488006e-73
YRI FIN JPT 0.00491417720968919 0.0002413113816142 20.3644651023788 3.45606039252813e-92
YRI FIN Kolyma_M 0.0034748178801633 0.000300675456509089 11.5567060926978 6.8277870242692e-31
YRI FIN Magadan_BA 0.00367803405926997 0.000179476391411747 20.4931357842602 2.47900693330337e-93
YRI FIN Saami_IA 0.00325850289866125 0.000163729462022769 19.9017504754771 3.92962555057147e-88
YRI FIN Uelen_IA 0.000111381536290477 1.19640505564277e-05 9.30968452240761 1.28212601108955e-20
YRI FIN UstBelaya_EBA 0.00303474673151423 0.000134138740433024 22.6239393758844 2.51948579265215e-113
YRI FIN UstBelaya_MED 0.000415624761623254 2.67769098851059e-05 15.5217597327927 2.47178291741372e-54
YRI FIN UstBelaya_N 0.00179995303978031 0.000112489004816953 16.0011464472397 1.25443653186844e-57
YRI FIN Yana_MED 0.00417431955356803 0.000227690148533116 18.3333340527067 4.48548912354736e-75
YRI FIN Yana_UP 0.00693926637171513 0.000342222440269579 20.2770641406474 2.05008056547598e-91
